year,closed_date,city,state,zip_code,subdivision,property_type,year_built,bedrooms,baths_total,acres,sale_price,original_list_price,sale_to_list_pct,total_square_feet,price_per_sqft,days_on_market,tax_amount_annual,assessment_pending,specials_debt_balance,yearly_specials_installment,requires_shoreline_audit,seller_contribution,state_tax_strategy,grant_stack_eligible,equity_protection_score
2026,2026-02-20,Glyndon,MN,56547,,Residential,1985,3,3.00,4.00,625000,705000,88.7,3600,173.61,201,3691.00,No,0.0,47.0,FALSE,7000,Homestead Tax Shield Eligible / Lower Specials,Above Threshold,10.0
2026,2026-02-27,West Fargo,ND,58078,The Wilds 20th Add,Residential,2025,4,2.00,,364961,369970,98.6,2176,167.72,169,542.73,Yes,34564.461,2740.09,FALSE,4500,Low Income Tax / Higher Specials Risk,High Potential,1
2026,2026-01-15,West Fargo,ND,58078,The Wilds 21st Addition,Residential,2024,5,3.00,,539900,534900,100.9,2873,187.92,125,547.95,Yes,14895.36,1140.28,FALSE,5000,Low Income Tax / Higher Specials Risk,Above Threshold,7.2
2026,2026-01-15,Fargo,ND,58102,Chandlers Broadway,Residential,1949,2,2.00,0.16,152500,192000,79.4,1664,91.65,196,2145.00,Yes,8502.0,1221.0,FALSE,4350,Low Income Tax / Higher Specials Risk,High Potential,4.4
2026,2026-02-24,Fargo,ND,58102,Keeney & Devitts 2nd,Residential,1905,5,3.00,0.18,280000,349000,80.2,3607,77.63,192,2522.00,No,0.0,494.48,FALSE,0,Low Income Tax / Higher Specials Risk,High Potential,10.0
2026,2026-02-27,Fargo,ND,58104,WOODHAVEN,Residential,2008,5,3.00,,790000,845000,93.5,4630,170.63,151,12142.12,UNKNO,13031.48,2596.72,TRUE,0,Low Income Tax / Higher Specials Risk,Above Threshold,8.4
2026,2026-01-15,Fargo,ND,58104,,Residential,2025,3,3.00,,457082,439900,103.9,2848,160.49,88,298.18,YES,5054.1,319.27,FALSE,9955,Low Income Tax / Higher Specials Risk,Above Threshold,8.9
2026,2026-02-06,Moorhead,MN,56560,Prairie Sun Add,Residential,2003,3,2.00,,230000,249900,92.0,1656,138.89,188,3345.00,No,400.0,84.0,FALSE,375,Homestead Tax Shield Eligible / Lower Specials,High Potential,9.8
2026,2026-02-06,Moorhead,MN,56560,North Forty Sub,Residential,1981,3,2.00,1.19,358500,449900,79.7,2600,137.88,181,3320.00,No,0.0,0.0,FALSE,0,Homestead Tax Shield Eligible / Lower Specials,High Potential,10.0
2026,2026-03-18,Horace,ND,58047,Rivers Edge Add To Horace,Residential,2018,5,3.00,1.25,1000000,1100000,90.9,3982,251.13,165,11933.60,No,1669.0,178.4,TRUE,0,Low Income Tax / Higher Specials Risk,Above Threshold,9.8
2026,2026-02-27,Fargo,ND,58103,Parkview South 2nd,Residential,1996,4,3.00,0.27,427000,450000,94.9,2524,169.18,186,4121.00,No,2826.0,336.0,FALSE,0,Low Income Tax / Higher Specials Risk,Above Threshold,9.3
2026,2026-03-31,Fargo,ND,58104,Selkirk Place,Residential,2025,3,3.00,,373963,375620,99.6,2098,178.25,180,0.00,Yes,3057.88,186.12,FALSE,0,Low Income Tax / Higher Specials Risk,High Potential,9.2
2026,2026-03-12,Fargo,ND,58103,Egbert Oneil & Haggarts,Residential,1998,4,2.00,0.15,269000,295000,91.2,2016,133.43,238,3125.00,No,0.0,0.0,FALSE,4000,Low Income Tax / Higher Specials Risk,High Potential,10.0
2026,2026-01-05,Fargo,ND,58104,Lemke,Residential,1999,4,3.00,3.64,450000,485000,92.8,2808,160.26,95,3419.00,No,0.0,0.0,FALSE,0,Low Income Tax / Higher Specials Risk,Above Threshold,10.0
2026,2026-01-05,Horace,ND,58047,Maple Lake Estates Add,Residential,2022,5,3.00,0.23,457500,525000,87.1,3091,148.01,120,4714.00,No,43585.0,4062.0,FALSE,0,Low Income Tax / Higher Specials Risk,Above Threshold,1
